Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
41210 College and other vocational instructors,"35,285","16,500","18,790"
"4122 Secondary, elementary and kindergarten school teachers","199,885","48,030","151,850"
41220 Secondary school teachers,"63,105","25,245","37,860"
41221 Elementary school and kindergarten teachers,"136,780","22,785","113,990"
413 Professional occupations in social and community services,"71,330","20,535","50,795"
4130 Social and community service professionals,"53,380","15,625","37,750"
41300 Social workers,"25,320","3,455","21,865"
41301 Therapists in counselling and related specialized therapies,"14,745","2,465","12,285"
41302 Religious leaders,"13,315","9,710","3,610"
4131 Police investigators and probation officers,"3,590","1,740","1,850"
41310 Police investigators and other investigative occupations,"1,835","1,345",495
41311 Probation and parole officers,"1,750",390,"1,355"
4132 Educational and employment counsellors,"14,365","3,170","11,190"
41320 Educational counsellors,"9,800","2,240","7,555"
41321 Career development practitioners and career counsellors (except education),"4,570",935,"3,630"
414 Professional occupations in government services,"107,735","44,665","63,070"
"4140 Policy and program researchers, consultants and officers","107,735","44,665","63,070"
"41400 Natural and applied science policy researchers, consultants and program officers","14,160","6,970","7,185"
41401 Economists and economic policy researchers and analysts,"13,960","7,825","6,135"
41402 Business development officers and market researchers and analysts,"22,580","12,095","10,480"
"41403 Social policy researchers, consultants and program officers","19,670","6,655","13,015"
"41404 Health policy researchers, consultants and program officers","14,100","3,355","10,750"
"41405 Education policy researchers, consultants and program officers","10,255","2,645","7,605"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","3,860","1,205","2,655"
41407 Program officers unique to government,"6,055","2,800","3,255"
41409 Other professional occupations in social science,"3,100","1,115","1,980"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","212,730","56,290","156,440"
421 Occupations in front-line public protection services,"40,880","33,665","7,215"
4210 Occupations in front-line public protection services,"40,880","33,665","7,215"
42100 Police officers (except commissioned),"27,175","20,905","6,270"
42101 Firefighters,"13,360","12,485",870
42102 Specialized members of the Canadian Armed Forces,345,270,65
"422 Paraprofessional occupations in legal, social, community and education services","171,855","22,620","149,230"
"4220 Paraprofessional occupations in legal, social, community and education services","171,855","22,620","149,230"
42200 Paralegals and related occupations,"17,245","3,255","13,985"
42201 Social and community service workers,"70,315","14,905","55,410"
42202 Early childhood educators and assistants,"76,565","2,450","74,115"
42203 Instructors of persons with disabilities,"4,155",505,"3,645"
42204 Religion workers,"3,575","1,500","2,070"
43 Assisting occupations in education and in legal and public protection,"89,865","34,905","54,960"
431 Assisting occupations in educational,"57,960","11,965","45,995"
4310 Assisting occupations in education,"57,960","11,965","45,995"
43100 Elementary and secondary school teacher assistants,"37,890","3,875","34,015"
43109 Other instructors,"20,070","8,090","11,980"
432 Assisting occupations in legal and public protection,"31,905","22,940","8,965"
4320 Assisting occupations in legal and public protection,"31,905","22,940","8,965"
43200 Sheriffs and bailiffs,"2,245","1,580",665
43201 Correctional service officers,"7,495","5,140","2,360"
43202 By-law enforcement and other regulatory officers,"4,730","3,010","1,725"
"43203 Border services, customs, and immigration officers","4,835","2,680","2,155"
43204 Operations members of the Canadian Armed Forces,"12,595","10,535","2,065"
44 Care providers and legal and public protection support occupations,"44,815","6,045","38,775"
441 Home care provider occupations,"41,490","3,205","38,290"
4410 Home care provider occupations,"41,490","3,205","38,290"
44100 Home child care providers,"29,250","1,810","27,435"
"44101 Home support workers, caregivers and related occupations","12,245","1,390","10,850"
442 Primary combat members of the Canadian Armed Forces,"3,330","2,840",485
4420 Primary combat members of the Canadian Armed Forces,"3,330","2,840",485
44200 Primary combat members of the Canadian Armed Forces,"3,330","2,840",485
"45 Student monitors, crossing guards and related occupations","14,990","2,350","12,640"
"451 Student monitors, crossing guards and related occupations","14,990","2,350","12,640"
"4510 Student monitors, crossing guards and related occupations","14,990","2,350","12,640"
"45100 Student monitors, crossing guards and related occupations","14,990","2,350","12,640"
"5 Occupations in art, culture, recreation and sport","272,540","123,405","149,130"
"50 Specialized middle management occupations in art, culture, recreation and sport","10,990","5,065","5,925"
"500 Specialized middle management occupations in art, culture, recreation and sport","10,990","5,065","5,925"
"5001 Managers in art, culture, recreation and sport","10,990","5,065","5,925"
"50010 Library, archive, museum and art gallery managers","1,775",455,"1,320"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","3,910","1,865","2,040"
"50012 Recreation, sports and fitness program and service directors","5,300","2,740","2,560"
51 Professional occupations in art and culture,"71,465","32,875","38,595"
511 Professional occupations in art and culture,"71,465","32,875","38,595"
"5110 Librarians, archivists, conservators and curators","5,315","1,175","4,140"
51100 Librarians,"3,965",760,"3,205"
51101 Conservators and curators,955,265,695
51102 Archivists,395,150,245
"5111 Writing, translating and related communications professionals","34,745","13,530","21,215"
51110 Editors,"7,205","2,495","4,715"
51111 Authors and writers (except technical),"12,800","5,295","7,505"
51112 Technical writers,"4,465","1,840","2,625"
51113 Journalists,"4,150","2,150","2,000"
"51114 Translators, terminologists and interpreters","6,120","1,745","4,370"
5112 Creative and performing artists,"31,405","18,165","13,240"
"51120 Producers, directors, choreographers and related occupations","14,660","9,415","5,250"
"51121 Conductors, composers and arrangers","1,675","1,135",540
51122 Musicians and singers,"15,070","7,620","7,450"
"52 Technical occupations in art, culture and sport","84,670","39,575","45,095"
521 Technical occupations in art and culture,"84,670","39,575","45,095"
5210 Technical occupations in libraries and public archives,"3,190",420,"2,770"
52100 Library and public archive technicians,"3,190",420,"2,770"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","28,645","18,320","10,320"
52110 Film and video camera operators,"2,405","2,035",375
52111 Graphic arts technicians,"2,925","1,985",940
52112 Broadcast technicians,"1,110",990,120
52113 Audio and video recording technicians,"7,125","5,850","1,270"
52114 Announcers and other broadcasters,"1,880","1,135",745
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","13,205","6,330","6,875"
5212 Graphic and interior designers,"52,835","20,835","32,000"
52120 Graphic designers and illustrators,"38,425","17,960","20,465"
52121 Interior designers and interior decorators,"14,410","2,875","11,540"
"53 Occupations in art, culture and sport","56,460","25,215","31,250"
531 Occupations in art and culture,"47,485","19,345","28,145"
5310 Occupations related to museums and art galleries,"1,720",640,"1,080"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","1,720",640,"1,080"
5311 Photographers and support occupations in arts and culture,"13,370","7,600","5,765"
53110 Photographers,"8,235","4,120","4,115"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","5,130","3,485","1,650"
5312 Occupations in creative and performing art,"32,405","11,105","21,300"
53120 Dancers,"4,230",605,"3,625"
"53121 Actors, comedians and circus performers","7,560","3,840","3,715"
