Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
22220 Computer network and web technicians,"2,135","1,840",295
22221 User support technicians,"2,385","1,655",730
22222 Information systems testing technicians,195,120,75
2223 Technical inspectors and regulatory officers,"1,760","1,340",420
22230 Non-destructive testers and inspectors,155,145,10
22231 Engineering inspectors and regulatory officers,245,175,70
22232 Occupational health and safety specialists,760,510,250
22233 Construction inspectors,595,510,85
223 Technical occupations related to engineering,"7,290","6,645",645
"2230 Technical occupations in civil, mechanical and industrial engineering","3,205","2,805",405
22300 Civil engineering technologists and technicians,815,665,150
22301 Mechanical engineering technologists and technicians,800,730,70
22302 Industrial engineering and manufacturing technologists and technicians,615,515,105
22303 Construction estimators,975,895,80
2231 Technical occupations in electronics and electrical engineering,"4,085","3,845",245
22310 Electrical and electronics engineering technologists and technicians,"1,515","1,395",120
22311 Electronic service technicians (household and business equipment),"2,195","2,085",110
22312 Industrial instrument technicians and mechanics,165,165,0
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",205,200,0
3 Health occupations,"61,660","13,445","48,215"
30 Specialized middle management occupations in health care,"1,505",320,"1,185"
300 Specialized middle management occupations in health care,"1,505",320,"1,185"
3001 Managers in health care,"1,505",320,"1,185"
30010 Managers in health care,"1,505",320,"1,185"
31 Professional occupations in health,"25,740","6,260","19,475"
311 Health treating and consultation services professionals,"7,565","3,650","3,920"
3110 Physicians and veterinarians,"4,005","2,330","1,670"
31100 Specialists in clinical and laboratory medicine,"1,320",875,450
31101 Specialists in surgery,400,265,140
31102 General practitioners and family physicians,"1,895","1,085",815
31103 Veterinarians,385,105,275
"3111 Dentists, optometrists and audiologists","1,380",555,830
31110 Dentists,650,415,235
31111 Optometrists,220,110,110
31112 Audiologists and speech-language pathologists,515,25,490
3112 Pharmacists and dietitians,"2,180",765,"1,420"
31120 Pharmacists,"1,685",755,930
31121 Dietitians and nutritionists,495,10,490
312 Therapy and assessment professionals,"2,930",820,"2,105"
3120 Therapy and assessment professionals,"2,930",820,"2,105"
31200 Psychologists,490,110,375
31201 Chiropractors,335,255,80
31202 Physiotherapists,"1,040",290,745
31203 Occupational therapists,680,50,625
31204 Kinesiologists and other professional occupations in therapy and assessment,300,90,210
31209 Other professional occupations in health diagnosing and treating,85,25,55
313 Nursing and allied health professionals,"15,245","1,790","13,450"
3130 Nursing and allied health professionals,"15,245","1,790","13,450"
31300 Nursing coordinators and supervisors,440,65,380
31301 Registered nurses and registered psychiatric nurses,"14,325","1,630","12,695"
31302 Nurse practitioners,240,35,205
"31303 Physician assistants, midwives and allied health professionals",235,55,170
32 Technical occupations in health,"11,900","2,710","9,190"
321 Technical occupations in health (except practitioners of natural healing),"10,010","2,365","7,640"
3210 Technical occupations in therapy and assessment,"5,995","1,585","4,410"
32100 Opticians,355,50,305
32101 Licensed practical nurses,"2,430",305,"2,125"
32102 Paramedical occupations,"1,325",785,535
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",450,135,310
32104 Animal health technologists and veterinary technicians,890,205,685
32109 Other technical occupations in therapy and assessment,560,110,450
3211 Technical occupations in dental health care,"1,165",215,945
32110 Denturists,70,60,10
32111 Dental hygienists and dental therapists,895,25,870
32112 Dental technologists and technicians,200,130,70
3212 Medical technologists and technicians,"2,850",565,"2,280"
32120 Medical laboratory technologists,845,145,695
32121 Medical radiation technologists,840,220,620
32122 Medical sonographers,140,10,130
32123 Cardiology technologists and electrophysiological diagnostic technologists,120,25,85
32124 Pharmacy technicians,835,130,705
32129 Other medical technologists and technicians,75,30,45
322 Practitioners of natural healing,"1,890",345,"1,550"
3220 Practitioners of natural healing,"1,890",345,"1,550"
32200 Traditional Chinese medicine practitioners and acupuncturists,35,15,25
32201 Massage therapists,"1,665",295,"1,370"
