Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
40012 Government managers - education policy development and program administration,295,100,190
40019 Other managers in public administration,615,340,275
4002 Managers in education,"7,885","3,085","4,805"
40020 Administrators - post-secondary education and vocational training,"3,350","1,135","2,210"
40021 School principals and administrators of elementary and secondary education,"4,540","1,945","2,595"
"4003 Managers in social, community and correctional services","5,760","1,375","4,385"
"40030 Managers in social, community and correctional services","5,760","1,375","4,385"
4004 Managers in public protection services,"2,880","2,375",505
40040 Commissioned police officers and related occupations in public protection services,180,105,75
40041 Fire chiefs and senior firefighting officers,565,530,30
40042 Commissioned officers of the Canadian Armed Forces,"2,135","1,735",400
"41 Professional occupations in law, education, social, community and government services","173,635","63,965","109,670"
411 Professional occupations in law,"15,300","8,600","6,695"
"4110 Judges, lawyers and Quebec notaries","15,300","8,600","6,695"
41100 Judges,410,210,195
41101 Lawyers and Quebec notaries,"14,885","8,390","6,495"
412 Professional occupations in education services,"97,645","33,940","63,700"
4120 University professors and post-secondary assistants,"27,635","13,055","14,580"
41200 University professors and lecturers,"11,995","6,410","5,585"
41201 Post-secondary teaching and research assistants,"15,640","6,650","8,995"
4121 College and other vocational instructors,"13,545","6,025","7,520"
41210 College and other vocational instructors,"13,545","6,025","7,520"
"4122 Secondary, elementary and kindergarten school teachers","56,465","14,860","41,605"
41220 Secondary school teachers,"19,945","8,685","11,260"
41221 Elementary school and kindergarten teachers,"36,515","6,170","30,345"
413 Professional occupations in social and community services,"28,935","8,625","20,310"
4130 Social and community service professionals,"20,720","6,540","14,175"
41300 Social workers,"7,975","1,205","6,765"
41301 Therapists in counselling and related specialized therapies,"7,825","1,635","6,190"
41302 Religious leaders,"4,915","3,700","1,215"
4131 Police investigators and probation officers,"1,490",605,885
41310 Police investigators and other investigative occupations,540,300,245
41311 Probation and parole officers,945,305,640
4132 Educational and employment counsellors,"6,725","1,480","5,245"
41320 Educational counsellors,"4,965","1,120","3,845"
41321 Career development practitioners and career counsellors (except education),"1,760",360,"1,405"
414 Professional occupations in government services,"31,755","12,795","18,965"
"4140 Policy and program researchers, consultants and officers","31,755","12,795","18,965"
"41400 Natural and applied science policy researchers, consultants and program officers","5,625","2,840","2,790"
41401 Economists and economic policy researchers and analysts,"1,995","1,060",935
41402 Business development officers and market researchers and analysts,"5,935","3,395","2,540"
"41403 Social policy researchers, consultants and program officers","5,510","1,760","3,755"
"41404 Health policy researchers, consultants and program officers","4,015",980,"3,035"
"41405 Education policy researchers, consultants and program officers","4,250","1,195","3,055"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","1,480",390,"1,090"
41407 Program officers unique to government,"1,625",645,985
41409 Other professional occupations in social science,"1,320",540,785
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","80,980","23,360","57,625"
421 Occupations in front-line public protection services,"15,915","13,015","2,900"
4210 Occupations in front-line public protection services,"15,915","13,015","2,900"
42100 Police officers (except commissioned),"10,680","8,075","2,605"
42101 Firefighters,"5,000","4,715",280
42102 Specialized members of the Canadian Armed Forces,240,230,10
"422 Paraprofessional occupations in legal, social, community and education services","65,065","10,340","54,725"
"4220 Paraprofessional occupations in legal, social, community and education services","65,065","10,340","54,725"
42200 Paralegals and related occupations,"5,220",480,"4,740"
42201 Social and community service workers,"32,445","8,080","24,360"
42202 Early childhood educators and assistants,"24,070","1,090","22,985"
42203 Instructors of persons with disabilities,"1,960",270,"1,690"
42204 Religion workers,"1,370",425,945
43 Assisting occupations in education and in legal and public protection,"41,015","13,495","27,525"
431 Assisting occupations in educational,"30,360","5,780","24,580"
4310 Assisting occupations in education,"30,360","5,780","24,580"
43100 Elementary and secondary school teacher assistants,"21,295","1,940","19,355"
43109 Other instructors,"9,065","3,840","5,220"
432 Assisting occupations in legal and public protection,"10,660","7,715","2,945"
4320 Assisting occupations in legal and public protection,"10,660","7,715","2,945"
43200 Sheriffs and bailiffs,730,595,130
43201 Correctional service officers,"3,635","2,500","1,135"
43202 By-law enforcement and other regulatory officers,"1,735","1,135",600
"43203 Border services, customs, and immigration officers","1,550",895,655
43204 Operations members of the Canadian Armed Forces,"3,015","2,590",425
44 Care providers and legal and public protection support occupations,"18,800","2,060","16,735"
441 Home care provider occupations,"18,335","1,650","16,680"
4410 Home care provider occupations,"18,335","1,650","16,680"
44100 Home child care providers,"10,095",675,"9,420"
"44101 Home support workers, caregivers and related occupations","8,240",980,"7,260"
442 Primary combat members of the Canadian Armed Forces,465,410,55
4420 Primary combat members of the Canadian Armed Forces,465,410,55
44200 Primary combat members of the Canadian Armed Forces,465,410,55
"45 Student monitors, crossing guards and related occupations","2,175",160,"2,010"
"451 Student monitors, crossing guards and related occupations","2,175",160,"2,010"
"4510 Student monitors, crossing guards and related occupations","2,175",160,"2,010"
"45100 Student monitors, crossing guards and related occupations","2,175",160,"2,010"
"5 Occupations in art, culture, recreation and sport","125,490","58,695","66,795"
"50 Specialized middle management occupations in art, culture, recreation and sport","4,880","2,340","2,545"
"500 Specialized middle management occupations in art, culture, recreation and sport","4,880","2,340","2,545"
"5001 Managers in art, culture, recreation and sport","4,880","2,340","2,545"
"50010 Library, archive, museum and art gallery managers",805,155,645
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","1,735",975,760
"50012 Recreation, sports and fitness program and service directors","2,345","1,210","1,140"
51 Professional occupations in art and culture,"27,475","12,465","15,015"
511 Professional occupations in art and culture,"27,475","12,465","15,015"
"5110 Librarians, archivists, conservators and curators","1,890",430,"1,465"
51100 Librarians,"1,350",280,"1,065"
51101 Conservators and curators,400,110,295
51102 Archivists,140,45,95
"5111 Writing, translating and related communications professionals","11,465","4,265","7,200"
51110 Editors,"2,180",685,"1,495"
51111 Authors and writers (except technical),"4,785","1,795","2,985"
51112 Technical writers,"1,250",400,850
51113 Journalists,"1,340",745,590
"51114 Translators, terminologists and interpreters","1,915",635,"1,275"
5112 Creative and performing artists,"14,115","7,770","6,355"
"51120 Producers, directors, choreographers and related occupations","6,480","4,185","2,295"
"51121 Conductors, composers and arrangers",650,445,210
51122 Musicians and singers,"6,990","3,145","3,845"
"52 Technical occupations in art, culture and sport","38,905","19,655","19,250"
521 Technical occupations in art and culture,"38,905","19,655","19,250"
5210 Technical occupations in libraries and public archives,"1,090",135,950
52100 Library and public archive technicians,"1,090",135,950
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","15,375","10,145","5,230"
52110 Film and video camera operators,"1,230","1,060",170
52111 Graphic arts technicians,"3,165","2,430",740
52112 Broadcast technicians,215,180,35
52113 Audio and video recording technicians,"3,185","2,590",590
52114 Announcers and other broadcasters,700,440,260
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","6,880","3,440","3,440"
5212 Graphic and interior designers,"22,445","9,375","13,070"
52120 Graphic designers and illustrators,"17,025","8,315","8,715"
52121 Interior designers and interior decorators,"5,415","1,055","4,360"
"53 Occupations in art, culture and sport","33,735","15,925","17,815"
531 Occupations in art and culture,"28,965","12,975","15,995"
5310 Occupations related to museums and art galleries,935,395,540
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",935,395,540
5311 Photographers and support occupations in arts and culture,"9,220","5,625","3,595"
53110 Photographers,"3,940","1,955","1,985"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","5,280","3,670","1,610"
5312 Occupations in creative and performing art,"18,810","6,955","11,855"
53120 Dancers,"1,830",260,"1,570"
"53121 Actors, comedians and circus performers","5,715","2,860","2,855"
"53122 Painters, sculptors and other visual artists","4,345","1,395","2,950"
"53123 Theatre, fashion, exhibit and other creative designers","2,775",895,"1,880"
53124 Artisans and craftspersons,"4,025","1,505","2,520"
"53125 Patternmakers - textile, leather and fur products",125,30,95
532 Occupations in sports,"4,765","2,950","1,815"
"5320 Athletes, coaches, referees and related occupations","4,765","2,950","1,815"
53200 Athletes,815,625,195
53201 Coaches,"3,210","1,720","1,490"
53202 Sports officials and referees,745,605,130
54 Support occupations in sport,"19,515","7,880","11,635"
541 Support occupations in sport,"19,515","7,880","11,635"
"5410 Program leaders and instructors in recreation, sport and fitness","19,515","7,880","11,635"
"54100 Program leaders and instructors in recreation, sport and fitness","19,515","7,880","11,635"
55 Support occupations in art and culture,970,440,535
551 Support occupations in art and culture,970,440,535
5510 Support occupations in art and culture,970,440,535
55109 Other performers,970,440,535
6 Sales and service occupations,"750,540","326,530","424,010"
60 Middle management occupations in retail and wholesale trade and customer services,"111,670","61,765","49,905"
600 Middle management occupations in retail and wholesale trade and customer services,"111,670","61,765","49,905"
6001 Corporate sales managers,"10,255","6,810","3,445"
60010 Corporate sales managers,"10,255","6,810","3,445"
6002 Retail and wholesale trade managers,"65,500","37,730","27,770"
60020 Retail and wholesale trade managers,"65,500","37,730","27,770"
6003 Managers in food service and accommodation,"30,260","14,770","15,490"
60030 Restaurant and food service managers,"23,600","11,715","11,885"
60031 Accommodation service managers,"6,660","3,050","3,605"
6004 Managers in customer and personal services,"5,660","2,460","3,200"
60040 Managers in customer and personal services,"5,660","2,460","3,200"
62 Retail sales and service supervisors and specialized occupations in sales and services,"55,130","30,665","24,460"
620 Retail sales and service supervisors,"26,505","10,880","15,625"
6201 Retail sales supervisors,"9,555","4,170","5,385"
62010 Retail sales supervisors,"9,555","4,170","5,385"
6202 Service supervisors,"16,950","6,710","10,240"
62020 Food service supervisors,"10,850","3,765","7,085"
62021 Executive housekeepers,330,80,245
"62022 Accommodation, travel, tourism and related services supervisors","1,305",630,675
62023 Customer and information services supervisors,"1,010",390,620
62024 Cleaning supervisors,"1,930",775,"1,155"
62029 Other services supervisors,"1,520","1,070",450
621 Specialized sales occupations,"12,340","7,625","4,715"
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"12,340","7,625","4,715"
62100 Technical sales specialists - wholesale trade,"7,415","5,480","1,935"
62101 Retail and wholesale buyers,"4,925","2,145","2,780"
622 Specialized services occupations,"16,285","12,165","4,120"
6220 Specialized occupations in services,"16,285","12,165","4,120"
62200 Chefs,"15,030","11,555","3,475"
62201 Funeral directors and embalmers,450,215,235
"62202 Jewellers, jewellery and watch repairers and related occupations",805,395,405
63 Occupations in sales and services,"109,510","46,070","63,435"
631 Occupations in sales,"42,680","20,025","22,655"
"6310 Insurance, real estate and financial sales occupations","42,680","20,025","22,655"
63100 Insurance agents and brokers,"13,160","4,830","8,330"
63101 Real estate agents and salespersons,"21,665","12,325","9,340"
63102 Financial sales representatives,"7,850","2,865","4,985"
632 Occupations in services,"66,825","26,045","40,785"
"6320 Cooks, butchers and bakers","40,210","21,620","18,590"
63200 Cooks,"31,120","17,980","13,135"
63201 Butchers - retail and wholesale,"1,065",885,180
63202 Bakers,"8,030","2,755","5,275"
6321 Hairstylists and estheticians,"25,895","3,895","22,000"
63210 Hairstylists and barbers,"14,535","2,865","11,665"
"63211 Estheticians, electrologists and related occupations","11,365","1,030","10,330"
"6322 Shoe repairers, shoemakers and upholsterers",715,530,190
63220 Shoe repairers and shoemakers,205,160,45
63221 Upholsterers,510,365,145
64 Sales and service representatives and other customer and personal services occupations,"200,125","87,490","112,635"
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"117,415","52,780","64,625"
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"117,415","52,780","64,625"
64100 Retail salespersons and visual merchandisers,"107,040","45,890","61,150"
64101 Sales and account representatives - wholesale trade (non-technical),"10,370","6,895","3,475"
642 Occupations in personal service,"2,840",385,"2,460"
6420 Occupations in personal service,"2,840",385,"2,460"
"64200 Tailors, dressmakers, furriers and milliners","2,440",285,"2,160"
"64201 Image, social and other personal consultants",400,100,300
"643 Occupations in food, accommodation and tourism","26,285","8,810","17,470"
6430 Occupations in food and beverage service,"10,875","3,355","7,520"
64300 Maîtres d'hôtel and hosts/hostesses,"5,295",645,"4,655"
64301 Bartenders,"5,580","2,715","2,870"
