Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
32102 Paramedical occupations,"5,635","3,625","2,010"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","4,590",710,"3,880"
32104 Animal health technologists and veterinary technicians,"4,545",370,"4,180"
32109 Other technical occupations in therapy and assessment,"4,445",710,"3,730"
3211 Technical occupations in dental health care,"8,725","1,240","7,485"
32110 Denturists,"1,085",585,505
32111 Dental hygienists and dental therapists,"6,655",180,"6,475"
32112 Dental technologists and technicians,980,470,510
3212 Medical technologists and technicians,"24,070","3,890","20,185"
32120 Medical laboratory technologists,"4,860",915,"3,945"
32121 Medical radiation technologists,"5,250",955,"4,295"
32122 Medical sonographers,590,75,510
32123 Cardiology technologists and electrophysiological diagnostic technologists,645,105,535
32124 Pharmacy technicians,"10,445","1,335","9,110"
32129 Other medical technologists and technicians,"2,290",505,"1,785"
322 Practitioners of natural healing,"10,860","2,270","8,585"
3220 Practitioners of natural healing,"10,860","2,270","8,585"
32200 Traditional Chinese medicine practitioners and acupuncturists,940,265,680
32201 Massage therapists,"9,030","1,815","7,210"
32209 Other practitioners of natural healing,890,190,700
33 Assisting occupations in support of health services,"127,825","21,560","106,265"
331 Assisting occupations in support of health services,"127,825","21,560","106,265"
3310 Assisting occupations in support of health services,"127,825","21,560","106,265"
33100 Dental assistants and dental laboratory assistants,"8,145",505,"7,640"
33101 Medical laboratory assistants and related technical occupations,"4,315","1,010","3,305"
"33102 Nurse aides, orderlies and patient service associates","98,735","17,045","81,690"
33103 Pharmacy technical assistants and pharmacy assistants,"8,095",860,"7,235"
33109 Other assisting occupations in support of health services,"8,535","2,140","6,395"
"4 Occupations in education, law and social, community and government services","601,675","179,715","421,960"
"40 Managers in public administration, in education and social and community services and in public protection services","28,730","12,250","16,480"
"400 Managers in public administration, in education and social and community services and in public protection services","28,730","12,250","16,480"
4001 Managers in public administration,"6,355","3,305","3,055"
40010 Government managers - health and social policy development and program administration,"1,650",625,"1,025"
"40011 Government managers - economic analysis, policy development and program administration","2,810","1,480","1,330"
40012 Government managers - education policy development and program administration,405,140,260
40019 Other managers in public administration,"1,495","1,055",435
4002 Managers in education,"9,125","3,255","5,865"
40020 Administrators - post-secondary education and vocational training,"3,555","1,405","2,155"
40021 School principals and administrators of elementary and secondary education,"5,560","1,850","3,715"
"4003 Managers in social, community and correctional services","8,375","1,845","6,535"
"40030 Managers in social, community and correctional services","8,375","1,845","6,535"
4004 Managers in public protection services,"4,870","3,845","1,025"
40040 Commissioned police officers and related occupations in public protection services,"1,030",790,240
40041 Fire chiefs and senior firefighting officers,565,535,35
40042 Commissioned officers of the Canadian Armed Forces,"3,275","2,515",760
"41 Professional occupations in law, education, social, community and government services","310,875","107,610","203,270"
411 Professional occupations in law,"25,680","11,480","14,200"
"4110 Judges, lawyers and Quebec notaries","25,680","11,480","14,200"
41100 Judges,"1,150",560,590
41101 Lawyers and Quebec notaries,"24,530","10,920","13,610"
412 Professional occupations in education services,"195,365","67,770","127,590"
4120 University professors and post-secondary assistants,"45,760","22,725","23,035"
41200 University professors and lecturers,"18,340","10,520","7,820"
41201 Post-secondary teaching and research assistants,"27,415","12,200","15,215"
4121 College and other vocational instructors,"38,800","18,505","20,295"
41210 College and other vocational instructors,"38,800","18,505","20,295"
"4122 Secondary, elementary and kindergarten school teachers","110,805","26,545","84,255"
41220 Secondary school teachers,"46,065","17,560","28,510"
41221 Elementary school and kindergarten teachers,"64,740","8,990","55,745"
413 Professional occupations in social and community services,"38,955","7,615","31,345"
4130 Social and community service professionals,"27,230","5,290","21,935"
41300 Social workers,"16,985","2,140","14,845"
41301 Therapists in counselling and related specialized therapies,"8,005","1,165","6,840"
41302 Religious leaders,"2,245","1,990",255
4131 Police investigators and probation officers,"1,465",465,"1,000"
41310 Police investigators and other investigative occupations,525,320,210
41311 Probation and parole officers,935,145,795
4132 Educational and employment counsellors,"10,265","1,860","8,405"
41320 Educational counsellors,"7,135","1,295","5,840"
41321 Career development practitioners and career counsellors (except education),"3,130",560,"2,560"
