Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
6 Sales and service occupations,"5,055","2,280","2,780"
60 Middle management occupations in retail and wholesale trade and customer services,695,430,265
600 Middle management occupations in retail and wholesale trade and customer services,695,430,265
6001 Corporate sales managers,10,10,0
60010 Corporate sales managers,10,10,0
6002 Retail and wholesale trade managers,405,280,130
60020 Retail and wholesale trade managers,405,280,130
6003 Managers in food service and accommodation,225,115,110
60030 Restaurant and food service managers,135,70,65
60031 Accommodation service managers,90,50,45
6004 Managers in customer and personal services,50,20,25
60040 Managers in customer and personal services,50,20,25
62 Retail sales and service supervisors and specialized occupations in sales and services,285,170,110
620 Retail sales and service supervisors,150,75,75
6201 Retail sales supervisors,60,25,35
62010 Retail sales supervisors,60,25,35
6202 Service supervisors,95,55,40
62020 Food service supervisors,45,30,15
62021 Executive housekeepers,0,0,0
"62022 Accommodation, travel, tourism and related services supervisors",0,0,0
62023 Customer and information services supervisors,10,0,10
62024 Cleaning supervisors,20,10,10
62029 Other services supervisors,10,10,0
621 Specialized sales occupations,30,20,10
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,30,20,10
62100 Technical sales specialists - wholesale trade,15,15,0
62101 Retail and wholesale buyers,15,10,10
622 Specialized services occupations,100,75,25
6220 Specialized occupations in services,100,75,25
62200 Chefs,90,65,25
62201 Funeral directors and embalmers,10,0,0
"62202 Jewellers, jewellery and watch repairers and related occupations",10,10,0
63 Occupations in sales and services,525,225,300
631 Occupations in sales,80,15,65
"6310 Insurance, real estate and financial sales occupations",80,15,65
63100 Insurance agents and brokers,20,0,20
63101 Real estate agents and salespersons,25,10,20
63102 Financial sales representatives,30,0,25
632 Occupations in services,445,215,235
"6320 Cooks, butchers and bakers",365,195,175
63200 Cooks,315,160,155
63201 Butchers - retail and wholesale,10,10,0
63202 Bakers,40,25,20
6321 Hairstylists and estheticians,65,10,55
63210 Hairstylists and barbers,55,10,45
"63211 Estheticians, electrologists and related occupations",20,0,15
"6322 Shoe repairers, shoemakers and upholsterers",10,0,0
63220 Shoe repairers and shoemakers,0,0,0
63221 Upholsterers,10,0,0
64 Sales and service representatives and other customer and personal services occupations,"1,175",555,620
641 Retail salespersons and non-technical wholesale trade sales and account representatives,480,220,260
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,480,220,260
64100 Retail salespersons and visual merchandisers,470,210,260
64101 Sales and account representatives - wholesale trade (non-technical),10,10,0
642 Occupations in personal service,15,0,15
6420 Occupations in personal service,15,0,15
"64200 Tailors, dressmakers, furriers and milliners",10,0,10
"64201 Image, social and other personal consultants",10,0,10
"643 Occupations in food, accommodation and tourism",250,105,145
6430 Occupations in food and beverage service,50,40,10
64300 Maîtres d'hôtel and hosts/hostesses,0,0,0
64301 Bartenders,50,40,10
6431 Occupations in travel and accommodation,175,45,130
64310 Travel counsellors,30,0,25
64311 Pursers and flight attendants,10,0,10
64312 Airline ticket and service agents,85,15,65
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0
64314 Hotel front desk clerks,45,20,20
6432 Tourism and amusement services occupations,30,20,0
64320 Tour and travel guides,10,10,0
64321 Casino workers,0,0,0
64322 Outdoor sport and recreational guides,20,15,0
"644 Occupations in customer, information and protective services",435,235,205
6440 Customer and information services representatives,185,60,130
64400 Customer services representatives - financial institutions,50,10,35
64401 Postal services representatives,15,10,10
64409 Other customer and information services representatives,125,50,80
6441 Security guards and related security service occupations,250,175,75
64410 Security guards and related security service occupations,250,175,75
65 Sales and service support occupations,"2,380",895,"1,490"
651 Sales support occupations,"1,000",380,615
6510 Cashiers and other sales support occupations,"1,000",380,615
65100 Cashiers,630,165,470
65101 Service station attendants,40,30,10
"65102 Store shelf stockers, clerks and order fillers",315,185,135
65109 Other sales related occupations,10,0,10
