Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
3110 Physicians and veterinarians,460,230,230
31100 Specialists in clinical and laboratory medicine,85,60,25
31101 Specialists in surgery,45,30,10
31102 General practitioners and family physicians,200,100,105
31103 Veterinarians,135,45,90
"3111 Dentists, optometrists and audiologists",120,40,80
31110 Dentists,60,30,25
31111 Optometrists,20,0,20
31112 Audiologists and speech-language pathologists,40,10,30
3112 Pharmacists and dietitians,255,50,200
31120 Pharmacists,180,50,130
31121 Dietitians and nutritionists,70,0,70
312 Therapy and assessment professionals,295,85,210
3120 Therapy and assessment professionals,295,85,210
31200 Psychologists,60,20,30
31201 Chiropractors,25,15,10
31202 Physiotherapists,135,40,95
31203 Occupational therapists,50,0,45
31204 Kinesiologists and other professional occupations in therapy and assessment,10,0,10
31209 Other professional occupations in health diagnosing and treating,10,0,10
313 Nursing and allied health professionals,"2,005",135,"1,875"
3130 Nursing and allied health professionals,"2,005",135,"1,875"
31300 Nursing coordinators and supervisors,130,0,125
31301 Registered nurses and registered psychiatric nurses,"1,825",120,"1,705"
31302 Nurse practitioners,45,0,45
"31303 Physician assistants, midwives and allied health professionals",0,0,0
32 Technical occupations in health,"1,530",240,"1,290"
321 Technical occupations in health (except practitioners of natural healing),"1,390",215,"1,170"
3210 Technical occupations in therapy and assessment,890,160,720
32100 Opticians,25,15,15
32101 Licensed practical nurses,465,20,440
32102 Paramedical occupations,170,105,65
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",35,10,25
32104 Animal health technologists and veterinary technicians,145,10,135
32109 Other technical occupations in therapy and assessment,50,10,40
3211 Technical occupations in dental health care,110,10,100
32110 Denturists,0,0,0
32111 Dental hygienists and dental therapists,110,10,100
32112 Dental technologists and technicians,0,0,0
3212 Medical technologists and technicians,390,40,350
32120 Medical laboratory technologists,105,15,95
32121 Medical radiation technologists,80,10,75
32122 Medical sonographers,20,0,15
32123 Cardiology technologists and electrophysiological diagnostic technologists,30,0,25
32124 Pharmacy technicians,130,0,130
32129 Other medical technologists and technicians,25,15,15
322 Practitioners of natural healing,145,30,120
3220 Practitioners of natural healing,145,30,120
32200 Traditional Chinese medicine practitioners and acupuncturists,10,10,0
32201 Massage therapists,120,15,110
32209 Other practitioners of natural healing,15,0,15
33 Assisting occupations in support of health services,"2,455",270,"2,180"
331 Assisting occupations in support of health services,"2,455",270,"2,180"
3310 Assisting occupations in support of health services,"2,455",270,"2,180"
33100 Dental assistants and dental laboratory assistants,180,15,170
33101 Medical laboratory assistants and related technical occupations,80,0,70
"33102 Nurse aides, orderlies and patient service associates","1,850",215,"1,635"
33103 Pharmacy technical assistants and pharmacy assistants,145,10,135
33109 Other assisting occupations in support of health services,195,25,170
"4 Occupations in education, law and social, community and government services","10,970","3,245","7,725"
"40 Managers in public administration, in education and social and community services and in public protection services",705,280,425
"400 Managers in public administration, in education and social and community services and in public protection services",705,280,425
4001 Managers in public administration,200,65,135
40010 Government managers - health and social policy development and program administration,75,20,50
"40011 Government managers - economic analysis, policy development and program administration",95,40,55
40012 Government managers - education policy development and program administration,0,0,0
40019 Other managers in public administration,30,10,25
4002 Managers in education,190,95,95
40020 Administrators - post-secondary education and vocational training,45,15,30
40021 School principals and administrators of elementary and secondary education,145,85,65
"4003 Managers in social, community and correctional services",235,60,175
"40030 Managers in social, community and correctional services",235,60,175
4004 Managers in public protection services,80,55,25
40040 Commissioned police officers and related occupations in public protection services,0,0,0
40041 Fire chiefs and senior firefighting officers,0,0,0
40042 Commissioned officers of the Canadian Armed Forces,70,50,25
"41 Professional occupations in law, education, social, community and government services","5,420","1,865","3,550"
411 Professional occupations in law,290,125,160
"4110 Judges, lawyers and Quebec notaries",290,125,160
41100 Judges,10,0,0
41101 Lawyers and Quebec notaries,280,125,160
412 Professional occupations in education services,"3,280","1,080","2,205"
4120 University professors and post-secondary assistants,780,365,415
41200 University professors and lecturers,290,150,145
41201 Post-secondary teaching and research assistants,485,215,270
4121 College and other vocational instructors,465,200,265
41210 College and other vocational instructors,465,200,265
"4122 Secondary, elementary and kindergarten school teachers","2,045",520,"1,520"
41220 Secondary school teachers,645,280,360
41221 Elementary school and kindergarten teachers,"1,395",235,"1,160"
413 Professional occupations in social and community services,725,250,470
4130 Social and community service professionals,490,195,295
41300 Social workers,175,20,150
41301 Therapists in counselling and related specialized therapies,90,20,70
41302 Religious leaders,225,155,70
4131 Police investigators and probation officers,30,20,15
41310 Police investigators and other investigative occupations,15,15,0
41311 Probation and parole officers,15,0,15
4132 Educational and employment counsellors,200,30,170
41320 Educational counsellors,125,25,105
41321 Career development practitioners and career counsellors (except education),75,10,60
414 Professional occupations in government services,"1,125",410,715
"4140 Policy and program researchers, consultants and officers","1,125",410,715
"41400 Natural and applied science policy researchers, consultants and program officers",100,40,55
41401 Economists and economic policy researchers and analysts,65,45,25
41402 Business development officers and market researchers and analysts,210,105,105
"41403 Social policy researchers, consultants and program officers",345,85,260
"41404 Health policy researchers, consultants and program officers",140,35,105
"41405 Education policy researchers, consultants and program officers",120,30,90
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",35,25,15
41407 Program officers unique to government,90,40,50
41409 Other professional occupations in social science,20,10,10
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","2,890",685,"2,205"
421 Occupations in front-line public protection services,245,205,35
4210 Occupations in front-line public protection services,245,205,35
42100 Police officers (except commissioned),230,190,35
42101 Firefighters,10,10,0
42102 Specialized members of the Canadian Armed Forces,0,0,0
"422 Paraprofessional occupations in legal, social, community and education services","2,650",480,"2,170"
"4220 Paraprofessional occupations in legal, social, community and education services","2,650",480,"2,170"
42200 Paralegals and related occupations,110,15,95
42201 Social and community service workers,"1,285",400,885
42202 Early childhood educators and assistants,"1,130",40,"1,090"
42203 Instructors of persons with disabilities,45,0,35
42204 Religion workers,85,15,65
43 Assisting occupations in education and in legal and public protection,"1,245",310,940
431 Assisting occupations in educational,975,120,850
4310 Assisting occupations in education,975,120,850
43100 Elementary and secondary school teacher assistants,800,60,745
43109 Other instructors,170,60,110
432 Assisting occupations in legal and public protection,270,185,85
4320 Assisting occupations in legal and public protection,270,185,85
43200 Sheriffs and bailiffs,35,25,10
43201 Correctional service officers,75,60,15
43202 By-law enforcement and other regulatory officers,40,25,15
"43203 Border services, customs, and immigration officers",40,20,20
43204 Operations members of the Canadian Armed Forces,80,55,25
44 Care providers and legal and public protection support occupations,680,85,595
441 Home care provider occupations,640,45,595
4410 Home care provider occupations,640,45,595
44100 Home child care providers,285,15,265
