Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
3110 Physicians and veterinarians,"2,270","1,170","1,105"
31100 Specialists in clinical and laboratory medicine,675,420,255
31101 Specialists in surgery,180,130,50
31102 General practitioners and family physicians,"1,185",565,620
31103 Veterinarians,230,55,175
"3111 Dentists, optometrists and audiologists",735,300,435
31110 Dentists,335,215,120
31111 Optometrists,95,50,45
31112 Audiologists and speech-language pathologists,305,35,270
3112 Pharmacists and dietitians,"1,395",350,"1,040"
31120 Pharmacists,"1,065",350,715
31121 Dietitians and nutritionists,325,0,325
312 Therapy and assessment professionals,"1,805",395,"1,410"
3120 Therapy and assessment professionals,"1,805",395,"1,410"
31200 Psychologists,450,80,370
31201 Chiropractors,110,65,45
31202 Physiotherapists,565,185,380
31203 Occupational therapists,445,10,435
31204 Kinesiologists and other professional occupations in therapy and assessment,135,35,100
31209 Other professional occupations in health diagnosing and treating,110,30,80
313 Nursing and allied health professionals,"8,840",550,"8,290"
3130 Nursing and allied health professionals,"8,840",550,"8,290"
31300 Nursing coordinators and supervisors,300,30,275
31301 Registered nurses and registered psychiatric nurses,"8,320",500,"7,820"
31302 Nurse practitioners,180,15,160
"31303 Physician assistants, midwives and allied health professionals",30,0,30
32 Technical occupations in health,"8,840","1,465","7,375"
321 Technical occupations in health (except practitioners of natural healing),"7,915","1,365","6,550"
3210 Technical occupations in therapy and assessment,"5,390","1,060","4,330"
32100 Opticians,265,50,215
32101 Licensed practical nurses,"2,905",270,"2,630"
32102 Paramedical occupations,980,580,395
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",430,95,335
32104 Animal health technologists and veterinary technicians,480,10,470
32109 Other technical occupations in therapy and assessment,335,50,280
3211 Technical occupations in dental health care,540,85,455
32110 Denturists,35,35,0
32111 Dental hygienists and dental therapists,450,15,435
32112 Dental technologists and technicians,60,35,20
3212 Medical technologists and technicians,"1,995",225,"1,765"
32120 Medical laboratory technologists,560,80,485
32121 Medical radiation technologists,465,45,420
32122 Medical sonographers,110,10,100
32123 Cardiology technologists and electrophysiological diagnostic technologists,130,15,115
32124 Pharmacy technicians,660,50,615
32129 Other medical technologists and technicians,70,35,35
322 Practitioners of natural healing,925,95,825
3220 Practitioners of natural healing,925,95,825
32200 Traditional Chinese medicine practitioners and acupuncturists,45,20,20
32201 Massage therapists,750,65,690
32209 Other practitioners of natural healing,130,10,120
33 Assisting occupations in support of health services,"12,500","1,545","10,955"
331 Assisting occupations in support of health services,"12,500","1,545","10,955"
3310 Assisting occupations in support of health services,"12,500","1,545","10,955"
33100 Dental assistants and dental laboratory assistants,650,15,630
33101 Medical laboratory assistants and related technical occupations,440,40,405
"33102 Nurse aides, orderlies and patient service associates","9,880","1,275","8,600"
33103 Pharmacy technical assistants and pharmacy assistants,785,70,725
33109 Other assisting occupations in support of health services,750,155,595
"4 Occupations in education, law and social, community and government services","55,630","19,220","36,410"
"40 Managers in public administration, in education and social and community services and in public protection services","3,425","1,710","1,710"
"400 Managers in public administration, in education and social and community services and in public protection services","3,425","1,710","1,710"
4001 Managers in public administration,715,375,335
40010 Government managers - health and social policy development and program administration,235,100,140
"40011 Government managers - economic analysis, policy development and program administration",275,155,120
40012 Government managers - education policy development and program administration,90,35,55
40019 Other managers in public administration,110,85,20
4002 Managers in education,"1,010",375,635
40020 Administrators - post-secondary education and vocational training,350,130,220
40021 School principals and administrators of elementary and secondary education,660,245,415
"4003 Managers in social, community and correctional services",825,180,645
"40030 Managers in social, community and correctional services",825,180,645
4004 Managers in public protection services,880,780,95
40040 Commissioned police officers and related occupations in public protection services,55,35,20
40041 Fire chiefs and senior firefighting officers,55,55,0
40042 Commissioned officers of the Canadian Armed Forces,765,690,75
"41 Professional occupations in law, education, social, community and government services","25,120","8,610","16,505"
411 Professional occupations in law,"1,575",890,680
"4110 Judges, lawyers and Quebec notaries","1,575",890,680
41100 Judges,85,50,35
41101 Lawyers and Quebec notaries,"1,490",840,645
412 Professional occupations in education services,"15,045","4,780","10,270"
4120 University professors and post-secondary assistants,"3,155","1,475","1,675"
41200 University professors and lecturers,"1,555",830,725
41201 Post-secondary teaching and research assistants,"1,595",650,955
4121 College and other vocational instructors,"2,015","1,015",995
41210 College and other vocational instructors,"2,015","1,015",995
"4122 Secondary, elementary and kindergarten school teachers","9,880","2,285","7,600"
41220 Secondary school teachers,"3,135","1,265","1,870"
41221 Elementary school and kindergarten teachers,"6,740","1,020","5,730"
413 Professional occupations in social and community services,"4,480","1,360","3,120"
4130 Social and community service professionals,"3,260","1,130","2,130"
41300 Social workers,"1,960",265,"1,690"
41301 Therapists in counselling and related specialized therapies,355,95,255
41302 Religious leaders,950,775,180
4131 Police investigators and probation officers,235,75,155
41310 Police investigators and other investigative occupations,45,35,10
41311 Probation and parole officers,180,40,150
4132 Educational and employment counsellors,985,150,835
41320 Educational counsellors,695,100,595
41321 Career development practitioners and career counsellors (except education),295,55,245
414 Professional occupations in government services,"4,020","1,585","2,435"
"4140 Policy and program researchers, consultants and officers","4,020","1,585","2,435"
"41400 Natural and applied science policy researchers, consultants and program officers",560,300,260
41401 Economists and economic policy researchers and analysts,230,105,125
41402 Business development officers and market researchers and analysts,565,340,230
"41403 Social policy researchers, consultants and program officers",900,230,670
"41404 Health policy researchers, consultants and program officers",445,100,345
"41405 Education policy researchers, consultants and program officers",625,210,420
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",140,45,85
41407 Program officers unique to government,440,195,245
41409 Other professional occupations in social science,115,60,55
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","12,210","3,390","8,820"
421 Occupations in front-line public protection services,"2,320","1,970",350
4210 Occupations in front-line public protection services,"2,320","1,970",350
42100 Police officers (except commissioned),"1,515","1,205",310
42101 Firefighters,695,675,15
42102 Specialized members of the Canadian Armed Forces,110,90,20
"422 Paraprofessional occupations in legal, social, community and education services","9,890","1,420","8,470"
"4220 Paraprofessional occupations in legal, social, community and education services","9,890","1,420","8,470"
