Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"65312 Janitors, caretakers and heavy-duty cleaners",300,170,130
6532 Service support and related occupations,35,10,25
"65320 Dry cleaning, laundry and related occupations",0,0,0
65329 Other service support occupations,30,10,20
"7 Trades, transport and equipment operators and related occupations","4,805","4,355",445
70 Middle management occupations in trades and transportation,360,320,45
700 Middle management occupations in trades and transportation,360,320,45
7001 Managers in construction and facility operation and maintenance,305,275,35
70010 Construction managers,155,145,0
70011 Home building and renovation managers,75,70,0
70012 Facility operation and maintenance managers,80,60,20
7002 Managers in transportation and postal and courier services,55,45,10
70020 Managers in transportation,55,45,10
70021 Postal and courier services managers,0,0,0
72 Technical trades and transportation officers and controllers,"2,095","1,955",140
720 Technical trades contractors and supervisors,335,300,40
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers",170,155,10
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",15,15,0
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",25,15,10
"72012 Contractors and supervisors, pipefitting trades",20,20,0
"72013 Contractors and supervisors, carpentry trades",55,50,0
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",55,55,0
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators",165,145,25
"72020 Contractors and supervisors, mechanic trades",40,30,10
"72021 Contractors and supervisors, heavy equipment operator crews",100,90,10
"72022 Supervisors, printing and related occupations",0,0,0
"72023 Supervisors, railway transport operations",0,0,0
"72024 Supervisors, motor transport and other ground transit operators",15,15,0
"72025 Supervisors, mail and message distribution occupations",15,10,10
721 Technical industrial trades,95,95,0
"7210 Machining, metal forming, shaping and erecting trades",95,95,0
72100 Machinists and machining and tooling inspectors,15,15,0
72101 Tool and die makers,0,0,0
72102 Sheet metal workers,30,30,0
72103 Boilermakers,0,0,0
72104 Structural metal and platework fabricators and fitters,0,0,0
72105 Ironworkers,0,0,0
72106 Welders and related machine operators,40,40,0
722 Technical electrical trades,250,240,10
7220 Technical electrical trades and electrical power line and telecommunications workers,250,240,10
72200 Electricians (except industrial and power system),170,160,10
72201 Industrial electricians,10,10,0
72202 Power system electricians,15,15,0
72203 Electrical power line and cable workers,25,25,0
72204 Telecommunications line and cable installers and repairers,20,20,0
72205 Telecommunications equipment installation and cable television service technicians,15,15,0
723 Technical construction trades,730,685,45
"7230 Plumbers, pipefitters and gas fitters",130,130,0
72300 Plumbers,120,120,0
"72301 Steamfitters, pipefitters and sprinkler system installers",10,10,0
72302 Gas fitters,0,0,0
7231 Carpenters and cabinetmakers,570,525,45
72310 Carpenters,550,510,35
72311 Cabinetmakers,25,15,0
7232 Bricklayers and insulators,25,25,0
72320 Bricklayers,0,0,0
72321 Insulators,20,20,0
724 Technical maintenance trades,530,510,20
7240 Machinery and transportation equipment mechanics (except motor vehicles),225,210,15
72400 Construction millwrights and industrial mechanics,25,25,0
72401 Heavy-duty equipment mechanics,150,140,10
"72402 Heating, refrigeration and air conditioning mechanics",15,15,0
72403 Railway carmen/women,0,0,0
72404 Aircraft mechanics and aircraft inspectors,35,35,10
72405 Machine fitters,0,0,0
72406 Elevator constructors and mechanics,0,0,0
7241 Automotive service technicians,260,255,0
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers",215,215,0
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators",40,40,0
7242 Small engine and equipment mechanics and related repairers (including electrical components),40,40,0
72420 Oil and solid fuel heating mechanics,25,25,0
72421 Appliance servicers and repairers,0,0,0
72422 Electrical mechanics,10,10,0
"72423 Motorcycle, all-terrain vehicle and other related mechanics",0,0,0
72429 Other small engine and small equipment repairers,0,0,0
725 Technical equipment operation trades,0,0,0
7250 Crane operators and water well drillers,0,0,0
72500 Crane operators,0,0,0
72501 Water well drillers,0,0,0
726 Transportation officers and controllers,140,115,25
7260 Transportation officers and controllers,140,115,25
"72600 Air pilots, flight engineers and flying instructors",105,95,15
72601 Air traffic controllers and related occupations,30,20,10
"72602 Deck officers, water transport",0,0,0
"72603 Engineer officers, water transport",0,0,0
72604 Railway traffic controllers and marine traffic regulators,0,0,0
729 Other technical trades,10,10,0
7299 Other technical trades,10,10,0
72999 Other technical trades and related occupations,10,10,0
73 General trades,"1,395","1,255",140
731 General construction trades,165,155,10
"7310 Concrete finishers, tilesetters and plasterers",45,45,0
73100 Concrete finishers,0,0,0
73101 Tilesetters,10,10,0
"73102 Plasterers, drywall installers and finishers and lathers",40,35,0
