Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
411 Professional occupations in law,"2,340","1,360",985
"4110 Judges, lawyers and Quebec notaries","2,340","1,360",985
41100 Judges,130,70,55
41101 Lawyers and Quebec notaries,"2,210","1,285",925
412 Professional occupations in education services,"21,565","7,245","14,320"
4120 University professors and post-secondary assistants,"6,675","3,040","3,630"
41200 University professors and lecturers,"3,235","1,690","1,540"
41201 Post-secondary teaching and research assistants,"3,440","1,350","2,090"
4121 College and other vocational instructors,"2,465","1,170","1,290"
41210 College and other vocational instructors,"2,465","1,170","1,290"
"4122 Secondary, elementary and kindergarten school teachers","12,435","3,035","9,400"
41220 Secondary school teachers,"3,920","1,625","2,290"
41221 Elementary school and kindergarten teachers,"8,515","1,405","7,110"
413 Professional occupations in social and community services,"5,410","1,510","3,895"
4130 Social and community service professionals,"4,030","1,200","2,830"
41300 Social workers,"2,170",305,"1,860"
41301 Therapists in counselling and related specialized therapies,805,140,665
41302 Religious leaders,"1,055",755,305
4131 Police investigators and probation officers,205,80,120
41310 Police investigators and other investigative occupations,50,35,10
41311 Probation and parole officers,155,45,110
4132 Educational and employment counsellors,"1,180",230,950
41320 Educational counsellors,840,190,650
41321 Career development practitioners and career counsellors (except education),335,45,300
414 Professional occupations in government services,"6,340","2,380","3,965"
"4140 Policy and program researchers, consultants and officers","6,340","2,380","3,965"
"41400 Natural and applied science policy researchers, consultants and program officers","1,080",495,585
41401 Economists and economic policy researchers and analysts,335,160,180
41402 Business development officers and market researchers and analysts,"1,035",495,545
"41403 Social policy researchers, consultants and program officers","1,225",375,845
"41404 Health policy researchers, consultants and program officers",765,165,600
"41405 Education policy researchers, consultants and program officers",915,265,650
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",410,135,275
41407 Program officers unique to government,420,195,220
41409 Other professional occupations in social science,155,85,65
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","16,025","4,640","11,390"
421 Occupations in front-line public protection services,"3,315","2,830",480
4210 Occupations in front-line public protection services,"3,315","2,830",480
42100 Police officers (except commissioned),"2,065","1,635",425
42101 Firefighters,860,825,40
42102 Specialized members of the Canadian Armed Forces,390,365,20
"422 Paraprofessional occupations in legal, social, community and education services","12,715","1,810","10,905"
"4220 Paraprofessional occupations in legal, social, community and education services","12,715","1,810","10,905"
42200 Paralegals and related occupations,855,90,770
42201 Social and community service workers,"6,090","1,425","4,665"
42202 Early childhood educators and assistants,"5,230",210,"5,020"
42203 Instructors of persons with disabilities,405,40,365
42204 Religion workers,135,50,85
43 Assisting occupations in education and in legal and public protection,"10,535","5,150","5,385"
431 Assisting occupations in educational,"4,800",655,"4,150"
4310 Assisting occupations in education,"4,800",655,"4,150"
43100 Elementary and secondary school teacher assistants,"3,945",295,"3,645"
43109 Other instructors,865,360,505
432 Assisting occupations in legal and public protection,"5,730","4,495","1,235"
4320 Assisting occupations in legal and public protection,"5,730","4,495","1,235"
43200 Sheriffs and bailiffs,340,265,80
43201 Correctional service officers,715,435,280
43202 By-law enforcement and other regulatory officers,250,190,60
"43203 Border services, customs, and immigration officers",320,120,195
43204 Operations members of the Canadian Armed Forces,"4,110","3,485",625
44 Care providers and legal and public protection support occupations,"4,270",760,"3,500"
441 Home care provider occupations,"3,740",305,"3,435"
4410 Home care provider occupations,"3,740",305,"3,435"
44100 Home child care providers,"1,630",85,"1,545"
"44101 Home support workers, caregivers and related occupations","2,110",220,"1,885"
442 Primary combat members of the Canadian Armed Forces,525,460,65
4420 Primary combat members of the Canadian Armed Forces,525,460,65
44200 Primary combat members of the Canadian Armed Forces,525,460,65
"45 Student monitors, crossing guards and related occupations","1,195",205,990
"451 Student monitors, crossing guards and related occupations","1,195",205,990
"4510 Student monitors, crossing guards and related occupations","1,195",205,990
"45100 Student monitors, crossing guards and related occupations","1,195",205,990
"5 Occupations in art, culture, recreation and sport","15,920","6,985","8,935"
"50 Specialized middle management occupations in art, culture, recreation and sport",825,350,475
"500 Specialized middle management occupations in art, culture, recreation and sport",825,350,475
"5001 Managers in art, culture, recreation and sport",825,350,475
"50010 Library, archive, museum and art gallery managers",145,35,110
