Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
41221 Elementary school and kindergarten teachers,"11,820","1,870","9,950"
413 Professional occupations in social and community services,"6,210","1,945","4,265"
4130 Social and community service professionals,"4,700","1,575","3,130"
41300 Social workers,"2,500",290,"2,210"
41301 Therapists in counselling and related specialized therapies,770,180,590
41302 Religious leaders,"1,435","1,110",325
4131 Police investigators and probation officers,435,120,310
41310 Police investigators and other investigative occupations,70,40,25
41311 Probation and parole officers,365,85,285
4132 Educational and employment counsellors,"1,080",250,825
41320 Educational counsellors,760,165,595
41321 Career development practitioners and career counsellors (except education),315,80,230
414 Professional occupations in government services,"5,975","2,175","3,795"
"4140 Policy and program researchers, consultants and officers","5,975","2,175","3,795"
"41400 Natural and applied science policy researchers, consultants and program officers",830,425,410
41401 Economists and economic policy researchers and analysts,315,170,145
41402 Business development officers and market researchers and analysts,830,430,400
"41403 Social policy researchers, consultants and program officers","1,090",345,740
"41404 Health policy researchers, consultants and program officers",785,175,610
"41405 Education policy researchers, consultants and program officers",925,250,680
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",470,125,350
41407 Program officers unique to government,615,210,405
41409 Other professional occupations in social science,115,55,60
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","18,570","5,545","13,025"
421 Occupations in front-line public protection services,"3,980","3,190",795
4210 Occupations in front-line public protection services,"3,980","3,190",795
42100 Police officers (except commissioned),"2,675","1,950",725
42101 Firefighters,"1,275","1,220",55
42102 Specialized members of the Canadian Armed Forces,30,25,10
"422 Paraprofessional occupations in legal, social, community and education services","14,590","2,360","12,230"
"4220 Paraprofessional occupations in legal, social, community and education services","14,590","2,360","12,230"
42200 Paralegals and related occupations,400,70,330
42201 Social and community service workers,"7,465","1,820","5,645"
42202 Early childhood educators and assistants,"6,070",265,"5,805"
42203 Instructors of persons with disabilities,265,65,205
42204 Religion workers,390,135,260
43 Assisting occupations in education and in legal and public protection,"10,880","3,135","7,745"
431 Assisting occupations in educational,"7,500",945,"6,550"
4310 Assisting occupations in education,"7,500",945,"6,550"
43100 Elementary and secondary school teacher assistants,"6,690",585,"6,105"
43109 Other instructors,810,365,450
432 Assisting occupations in legal and public protection,"3,380","2,190","1,190"
4320 Assisting occupations in legal and public protection,"3,380","2,190","1,190"
43200 Sheriffs and bailiffs,295,165,130
43201 Correctional service officers,"2,160","1,300",860
43202 By-law enforcement and other regulatory officers,280,160,120
"43203 Border services, customs, and immigration officers",200,140,65
43204 Operations members of the Canadian Armed Forces,445,425,20
44 Care providers and legal and public protection support occupations,"4,720",540,"4,180"
441 Home care provider occupations,"4,535",390,"4,150"
4410 Home care provider occupations,"4,535",390,"4,150"
44100 Home child care providers,"3,060",185,"2,865"
"44101 Home support workers, caregivers and related occupations","1,480",200,"1,280"
442 Primary combat members of the Canadian Armed Forces,185,150,25
4420 Primary combat members of the Canadian Armed Forces,185,150,25
44200 Primary combat members of the Canadian Armed Forces,185,150,25
"45 Student monitors, crossing guards and related occupations",105,25,80
"451 Student monitors, crossing guards and related occupations",105,25,80
"4510 Student monitors, crossing guards and related occupations",105,25,80
"45100 Student monitors, crossing guards and related occupations",105,25,80
"5 Occupations in art, culture, recreation and sport","13,075","4,935","8,140"
"50 Specialized middle management occupations in art, culture, recreation and sport",825,345,485
