Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
3112 Pharmacists and dietitians,10,0,10
31120 Pharmacists,0,0,0
31121 Dietitians and nutritionists,0,0,0
312 Therapy and assessment professionals,20,10,15
3120 Therapy and assessment professionals,20,10,15
31200 Psychologists,0,0,0
31201 Chiropractors,0,0,0
31202 Physiotherapists,10,0,10
31203 Occupational therapists,0,0,0
31204 Kinesiologists and other professional occupations in therapy and assessment,0,0,0
31209 Other professional occupations in health diagnosing and treating,0,0,0
313 Nursing and allied health professionals,180,25,155
3130 Nursing and allied health professionals,180,25,155
31300 Nursing coordinators and supervisors,15,0,15
31301 Registered nurses and registered psychiatric nurses,160,25,135
31302 Nurse practitioners,0,0,0
"31303 Physician assistants, midwives and allied health professionals",0,0,0
32 Technical occupations in health,65,15,45
321 Technical occupations in health (except practitioners of natural healing),65,15,45
3210 Technical occupations in therapy and assessment,25,0,20
32100 Opticians,0,0,0
32101 Licensed practical nurses,15,0,10
32102 Paramedical occupations,0,0,0
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",0,0,0
32104 Animal health technologists and veterinary technicians,10,0,10
32109 Other technical occupations in therapy and assessment,0,0,0
3211 Technical occupations in dental health care,10,0,10
32110 Denturists,0,0,0
32111 Dental hygienists and dental therapists,10,0,10
32112 Dental technologists and technicians,0,0,0
3212 Medical technologists and technicians,35,15,20
32120 Medical laboratory technologists,0,10,10
32121 Medical radiation technologists,10,0,0
32122 Medical sonographers,0,0,10
32123 Cardiology technologists and electrophysiological diagnostic technologists,0,0,0
32124 Pharmacy technicians,10,0,10
32129 Other medical technologists and technicians,0,0,0
322 Practitioners of natural healing,0,0,0
3220 Practitioners of natural healing,0,0,0
32200 Traditional Chinese medicine practitioners and acupuncturists,0,0,0
32201 Massage therapists,0,0,0
32209 Other practitioners of natural healing,0,0,0
33 Assisting occupations in support of health services,260,25,240
331 Assisting occupations in support of health services,260,25,240
3310 Assisting occupations in support of health services,260,25,240
33100 Dental assistants and dental laboratory assistants,10,0,10
33101 Medical laboratory assistants and related technical occupations,10,10,10
"33102 Nurse aides, orderlies and patient service associates",225,20,205
33103 Pharmacy technical assistants and pharmacy assistants,10,0,10
33109 Other assisting occupations in support of health services,10,0,0
"4 Occupations in education, law and social, community and government services","3,240","1,040","2,205"
"40 Managers in public administration, in education and social and community services and in public protection services",305,125,185
"400 Managers in public administration, in education and social and community services and in public protection services",305,125,185
4001 Managers in public administration,110,55,55
40010 Government managers - health and social policy development and program administration,50,20,30
"40011 Government managers - economic analysis, policy development and program administration",35,20,15
40012 Government managers - education policy development and program administration,0,0,0
40019 Other managers in public administration,25,20,0
4002 Managers in education,75,25,45
40020 Administrators - post-secondary education and vocational training,10,0,10
40021 School principals and administrators of elementary and secondary education,60,25,35
"4003 Managers in social, community and correctional services",105,35,75
"40030 Managers in social, community and correctional services",105,35,75
4004 Managers in public protection services,15,10,0
40040 Commissioned police officers and related occupations in public protection services,0,0,0
40041 Fire chiefs and senior firefighting officers,0,0,0
40042 Commissioned officers of the Canadian Armed Forces,10,10,0
"41 Professional occupations in law, education, social, community and government services","1,475",460,"1,020"
411 Professional occupations in law,80,40,40
"4110 Judges, lawyers and Quebec notaries",80,40,40
41100 Judges,10,10,0
41101 Lawyers and Quebec notaries,70,40,35
412 Professional occupations in education services,840,225,620
4120 University professors and post-secondary assistants,20,15,10
41200 University professors and lecturers,10,10,0
41201 Post-secondary teaching and research assistants,15,10,10
4121 College and other vocational instructors,110,25,80
41210 College and other vocational instructors,110,25,80
"4122 Secondary, elementary and kindergarten school teachers",710,185,530
41220 Secondary school teachers,210,95,120
41221 Elementary school and kindergarten teachers,500,90,410
413 Professional occupations in social and community services,130,35,95
4130 Social and community service professionals,65,20,45
41300 Social workers,45,10,40
41301 Therapists in counselling and related specialized therapies,10,0,10
41302 Religious leaders,10,10,0
4131 Police investigators and probation officers,10,0,10
41310 Police investigators and other investigative occupations,10,0,0
41311 Probation and parole officers,10,0,0
4132 Educational and employment counsellors,60,10,45
41320 Educational counsellors,40,15,25
41321 Career development practitioners and career counsellors (except education),25,0,20
414 Professional occupations in government services,425,155,270
"4140 Policy and program researchers, consultants and officers",425,155,270
"41400 Natural and applied science policy researchers, consultants and program officers",65,40,25
41401 Economists and economic policy researchers and analysts,10,0,10
41402 Business development officers and market researchers and analysts,45,20,30
"41403 Social policy researchers, consultants and program officers",125,40,80
"41404 Health policy researchers, consultants and program officers",60,0,50
"41405 Education policy researchers, consultants and program officers",40,15,25
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",20,20,10
41407 Program officers unique to government,50,20,30
41409 Other professional occupations in social science,10,10,10
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",905,300,610
421 Occupations in front-line public protection services,180,140,35
4210 Occupations in front-line public protection services,180,140,35
42100 Police officers (except commissioned),145,120,30
42101 Firefighters,35,25,0
42102 Specialized members of the Canadian Armed Forces,0,0,0
"422 Paraprofessional occupations in legal, social, community and education services",730,150,580
"4220 Paraprofessional occupations in legal, social, community and education services",730,150,580
42200 Paralegals and related occupations,20,10,15
42201 Social and community service workers,465,125,345
42202 Early childhood educators and assistants,240,25,215
42203 Instructors of persons with disabilities,0,0,0
42204 Religion workers,0,0,0
43 Assisting occupations in education and in legal and public protection,405,140,265
431 Assisting occupations in educational,270,40,230
4310 Assisting occupations in education,270,40,230
43100 Elementary and secondary school teacher assistants,225,35,190
43109 Other instructors,45,10,40
432 Assisting occupations in legal and public protection,135,100,35
4320 Assisting occupations in legal and public protection,135,100,35
43200 Sheriffs and bailiffs,20,20,0
43201 Correctional service officers,90,60,30
43202 By-law enforcement and other regulatory officers,15,15,0
"43203 Border services, customs, and immigration officers",0,0,0
43204 Operations members of the Canadian Armed Forces,0,10,0
44 Care providers and legal and public protection support occupations,140,15,125
441 Home care provider occupations,140,15,125
4410 Home care provider occupations,140,15,125
44100 Home child care providers,70,10,65
"44101 Home support workers, caregivers and related occupations",65,10,55
442 Primary combat members of the Canadian Armed Forces,0,0,0
4420 Primary combat members of the Canadian Armed Forces,0,0,0
44200 Primary combat members of the Canadian Armed Forces,0,0,0
"45 Student monitors, crossing guards and related occupations",10,0,0
