Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
331 Assisting occupations in support of health services,"57,790","7,325","50,465"
3310 Assisting occupations in support of health services,"57,790","7,325","50,465"
33100 Dental assistants and dental laboratory assistants,"5,730",190,"5,545"
33101 Medical laboratory assistants and related technical occupations,"3,405",505,"2,900"
"33102 Nurse aides, orderlies and patient service associates","39,705","5,305","34,400"
33103 Pharmacy technical assistants and pharmacy assistants,"3,755",550,"3,210"
33109 Other assisting occupations in support of health services,"5,195",780,"4,410"
"4 Occupations in education, law and social, community and government services","267,785","88,015","179,770"
"40 Managers in public administration, in education and social and community services and in public protection services","15,715","6,245","9,470"
"400 Managers in public administration, in education and social and community services and in public protection services","15,715","6,245","9,470"
4001 Managers in public administration,"2,615","1,225","1,385"
40010 Government managers - health and social policy development and program administration,845,255,590
"40011 Government managers - economic analysis, policy development and program administration",995,580,415
40012 Government managers - education policy development and program administration,190,65,130
40019 Other managers in public administration,585,335,250
4002 Managers in education,"6,900","2,710","4,190"
40020 Administrators - post-secondary education and vocational training,"2,290",735,"1,550"
40021 School principals and administrators of elementary and secondary education,"4,610","1,970","2,640"
"4003 Managers in social, community and correctional services","4,305",845,"3,460"
"40030 Managers in social, community and correctional services","4,305",845,"3,460"
4004 Managers in public protection services,"1,900","1,460",435
40040 Commissioned police officers and related occupations in public protection services,120,60,55
40041 Fire chiefs and senior firefighting officers,330,305,20
40042 Commissioned officers of the Canadian Armed Forces,"1,455","1,095",355
"41 Professional occupations in law, education, social, community and government services","136,525","49,600","86,925"
411 Professional occupations in law,"11,280","6,590","4,695"
"4110 Judges, lawyers and Quebec notaries","11,280","6,590","4,695"
41100 Judges,310,185,125
41101 Lawyers and Quebec notaries,"10,975","6,405","4,570"
412 Professional occupations in education services,"79,960","25,915","54,045"
4120 University professors and post-secondary assistants,"20,405","9,630","10,775"
41200 University professors and lecturers,"8,225","4,335","3,890"
41201 Post-secondary teaching and research assistants,"12,175","5,290","6,890"
4121 College and other vocational instructors,"9,220","4,360","4,860"
41210 College and other vocational instructors,"9,220","4,360","4,860"
"4122 Secondary, elementary and kindergarten school teachers","50,335","11,925","38,405"
41220 Secondary school teachers,"14,525","6,205","8,325"
41221 Elementary school and kindergarten teachers,"35,815","5,730","30,085"
413 Professional occupations in social and community services,"20,100","6,415","13,685"
4130 Social and community service professionals,"15,130","5,100","10,030"
41300 Social workers,"7,445","1,205","6,235"
41301 Therapists in counselling and related specialized therapies,"3,470",650,"2,810"
41302 Religious leaders,"4,220","3,235",980
4131 Police investigators and probation officers,"1,050",500,550
41310 Police investigators and other investigative occupations,395,310,80
41311 Probation and parole officers,655,185,470
4132 Educational and employment counsellors,"3,925",820,"3,105"
41320 Educational counsellors,"2,770",510,"2,260"
41321 Career development practitioners and career counsellors (except education),"1,160",310,845
414 Professional occupations in government services,"25,180","10,680","14,500"
"4140 Policy and program researchers, consultants and officers","25,180","10,680","14,500"
"41400 Natural and applied science policy researchers, consultants and program officers","5,310","2,870","2,445"
41401 Economists and economic policy researchers and analysts,"2,075","1,200",875
41402 Business development officers and market researchers and analysts,"5,545","3,380","2,160"
"41403 Social policy researchers, consultants and program officers","3,560","1,120","2,440"
"41404 Health policy researchers, consultants and program officers","3,170",630,"2,540"
"41405 Education policy researchers, consultants and program officers","2,850",580,"2,270"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","1,130",335,795
41407 Program officers unique to government,930,340,585
41409 Other professional occupations in social science,605,225,385
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","62,800","19,340","43,470"
421 Occupations in front-line public protection services,"15,005","12,565","2,435"
4210 Occupations in front-line public protection services,"15,005","12,565","2,435"
42100 Police officers (except commissioned),"9,790","7,685","2,110"
42101 Firefighters,"5,050","4,755",295
42102 Specialized members of the Canadian Armed Forces,165,130,30
"422 Paraprofessional occupations in legal, social, community and education services","47,800","6,770","41,030"
"4220 Paraprofessional occupations in legal, social, community and education services","47,800","6,770","41,030"
42200 Paralegals and related occupations,"2,950",265,"2,690"
42201 Social and community service workers,"23,410","5,470","17,940"
42202 Early childhood educators and assistants,"19,720",600,"19,120"
42203 Instructors of persons with disabilities,695,85,610
42204 Religion workers,"1,025",350,675
43 Assisting occupations in education and in legal and public protection,"31,525","10,450","21,075"
431 Assisting occupations in educational,"21,955","3,065","18,885"
4310 Assisting occupations in education,"21,955","3,065","18,885"
43100 Elementary and secondary school teacher assistants,"17,310","1,040","16,270"
43109 Other instructors,"4,645","2,030","2,615"
432 Assisting occupations in legal and public protection,"9,575","7,380","2,195"
4320 Assisting occupations in legal and public protection,"9,575","7,380","2,195"
43200 Sheriffs and bailiffs,645,555,85
43201 Correctional service officers,"2,785","1,995",790
43202 By-law enforcement and other regulatory officers,900,525,375
"43203 Border services, customs, and immigration officers",615,260,350
43204 Operations members of the Canadian Armed Forces,"4,640","4,045",590
44 Care providers and legal and public protection support occupations,"18,790","2,240","16,555"
441 Home care provider occupations,"17,685","1,245","16,440"
4410 Home care provider occupations,"17,685","1,245","16,440"
44100 Home child care providers,"12,775",625,"12,150"
"44101 Home support workers, caregivers and related occupations","4,910",615,"4,295"
442 Primary combat members of the Canadian Armed Forces,"1,105",995,110
4420 Primary combat members of the Canadian Armed Forces,"1,105",995,110
44200 Primary combat members of the Canadian Armed Forces,"1,105",995,110
"45 Student monitors, crossing guards and related occupations","2,420",135,"2,285"
